observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,13020
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,579
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,2052
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,2357
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,13020
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,78
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,251
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,379
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,8529
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,73117
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,1201
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,150
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,heft,218
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,785
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,10102
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,heft,686
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,heft,90
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,132569
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,heft,847
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,1201
