observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,time
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1686,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1686,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1686,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,2404,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,78,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,2404,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1686,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1686,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1686,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-10-30,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-13-06,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,2256,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-15-56,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1686,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,2404,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1876,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,2404,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1876,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1686,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1876,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1686,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1250,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-07-45,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1876,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,936,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,1124,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-42-33,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1876,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,936,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-45-53,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,1124,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,936,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,936,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,936,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,1124,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,146,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,1124,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,4173,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,936,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,250,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,936,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,146,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,936,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,4173,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,936,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,15,78,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,250,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,250,heft
hpso01,workflows/-4798338277640702793_2024-11-10_21-35-13,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,1124,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,146,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,4173,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,4173,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,30,78,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,1,78,heft
hpso02a,workflows/8988841495393588671_2024-11-10_21-38-50,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,936,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,250,heft
hpso13,workflows/-6945540424978040141_2024-11-10_22-18-30,30,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,5,250,heft
hpso15,workflows/-5643670302229644219_2024-11-10_22-21-16,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,146,heft
hpso22,workflows/2768866859543975590_2024-11-10_22-23-56,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,4173,heft
hpso32,workflows/-2887030758418618714_2024-11-10_22-26-42,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,True,edges,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,78,heft
