observation,workflow,ingest_demand,duration,channels,workflow_parallelism,demand,baseline,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso32,workflows/200872277485900546_2025-07-30_20-40-16,17,7920,65536,796,197,20000,['cont_img_mvp'],ICAL.DPrepB,False,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,1064
hpso32,workflows/200872277485900546_2025-07-31_00-13-37,17,7920,65536,796,197,20000,['cont_img_mvp'],ICAL.DPrepB,True,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,1180
hpso22,workflows/-3968238513725799028_2025-07-30_22-26-56,81,28800,65536,796,197,150000,['cont_img_mvp'],ICAL.DPrepA.DPrepB,True,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,206740
hpso22,workflows/-3968238513725799028_2025-07-30_19-46-36,81,28800,65536,796,197,150000,['cont_img_mvp'],ICAL.DPrepA.DPrepB,False,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,75368
hpso32,workflows/200872277485900546_2025-07-31_01-07-14,17,7920,65536,796,197,20000,['cont_img_mvp'],ICAL.DPrepB,True,edges,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,1545
hpso15,workflows/-1400787567989724061_2025-07-30_18-52-56,12,15840,65536,796,197,15000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,775
hpso15,workflows/-1400787567989724061_2025-07-30_21-33-30,12,15840,65536,796,197,15000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,999
hpso13,workflows/-996487479487128962_2025-07-30_23-20-07,30,28800,65536,796,197,35000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,12698
hpso13,workflows/-996487479487128962_2025-07-30_17-58-48,30,28800,65536,796,197,35000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,7568
hpso22,workflows/-3968238513725799028_2025-07-31_02-00-18,81,28800,65536,796,197,150000,['cont_img_mvp'],ICAL.DPrepA.DPrepB,True,edges,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,488215
hpso15,workflows/-1400787567989724061_2025-07-31_02-53-37,12,15840,65536,796,197,15000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,1561
hpso02b,workflows/1134211346559865857_2025-07-30_16-41-28,59,18000,32768,896,512,65000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,1,/scratch/rbunney/maximal_contimg/all,low-adjusted,1,fcfs,109732
hpso01,workflows/-195830032015401691_2025-07-30_11-34-22,59,18000,32768,896,512,65000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,1,/scratch/rbunney/maximal_contimg/all,low-adjusted,1,fcfs,138855
hpso13,workflows/-996487479487128962_2025-07-31_03-47-00,30,28800,65536,796,197,35000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,1,/scratch/rbunney/maximal_contimg/all,mid-adjusted,1,fcfs,24270
hpso02a,workflows/-5877642695002186051_2025-07-30_14-07-20,59,18000,32768,896,512,65000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,1,/scratch/rbunney/maximal_contimg/all,low-adjusted,1,fcfs,109732
hpso02a,workflows/-5877642695002186051_2025-07-30_07-43-25,59,18000,32768,896,512,65000,['cont_img_mvp'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,1,/scratch/rbunney/maximal_contimg/all,low-adjusted,1,fcfs,33315
