hpso02a,parametric,26732,prototype,low-adjusted,512,512,False
hpso13,parametric,5655,prototype,mid-adjusted,786,512,True
hpso22,parametric,62847,prototype,mid-adjusted,512,512,False
hpso13,parametric,5655,prototype,mid-adjusted,512,512,True
hpso02a,parametric,26732,prototype,low-adjusted,896,896,True
hpso15,parametric,504,prototype,mid-adjusted,786,512,True
hpso01,parametric,32090,prototype,low-adjusted,896,512,True
hpso02a,parametric,26732,prototype,low-adjusted,512,512,True
hpso22,parametric,62847,prototype,mid-adjusted,786,786,True
hpso13,parametric,5655,prototype,mid-adjusted,786,786,False
hpso15,parametric,504,prototype,mid-adjusted,786,512,False
hpso15,parametric,504,prototype,mid-adjusted,512,512,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,True
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,False
hpso02a,parametric,26732,prototype,low-adjusted,896,512,False
hpso02b,parametric,26732,prototype,low-adjusted,512,512,False
hpso02b,parametric,26732,prototype,low-adjusted,896,512,False
hpso01,parametric,32090,prototype,low-adjusted,512,512,False
hpso01,parametric,32090,prototype,low-adjusted,896,512,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,True
hpso02b,parametric,26732,prototype,low-adjusted,896,512,True
hpso22,parametric,62847,prototype,mid-adjusted,786,786,False
hpso01,parametric,32090,prototype,low-adjusted,896,896,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,True
hpso22,parametric,62847,prototype,mid-adjusted,786,512,False
hpso32,parametric,0,prototype,mid-adjusted,512,512,True
hpso13,parametric,5655,prototype,mid-adjusted,786,512,False
hpso02a,parametric,26732,prototype,low-adjusted,896,896,False
hpso32,parametric,0,prototype,mid-adjusted,786,786,False
hpso22,parametric,62847,prototype,mid-adjusted,512,512,True
hpso32,parametric,0,prototype,mid-adjusted,786,512,True
hpso02a,parametric,26732,prototype,low-adjusted,896,512,True
hpso15,parametric,504,prototype,mid-adjusted,512,512,True
hpso13,parametric,5655,prototype,mid-adjusted,786,786,True
hpso13,parametric,5655,prototype,mid-adjusted,512,512,False
hpso22,parametric,62847,prototype,mid-adjusted,786,512,True
hpso01,parametric,32090,prototype,low-adjusted,512,512,True
hpso02b,parametric,26732,prototype,low-adjusted,512,512,True
hpso32,parametric,0,prototype,mid-adjusted,512,512,False
hpso32,parametric,0,prototype,mid-adjusted,786,786,True
hpso32,parametric,0,prototype,mid-adjusted,786,512,False
hpso32,workflow,705,prototype,mid-adjusted,786,786,False
hpso01,workflow,170167,scatter,low-adjusted,896,896,True
hpso13,workflow,8557,prototype,mid-adjusted,786,512,False
hpso01,workflow,289341,prototype,low-adjusted,896,512,True
hpso01,workflow,56237,scatter,low-adjusted,896,512,False
hpso02b,workflow,258897,scatter,low-adjusted,512,512,True
hpso01,workflow,307049,scatter,low-adjusted,896,512,True
hpso15,workflow,773,scatter,mid-adjusted,512,512,False
hpso15,workflow,2821,scatter,mid-adjusted,786,512,True
hpso15,workflow,2824,prototype,mid-adjusted,512,512,True
hpso13,workflow,24600,scatter,mid-adjusted,786,786,True
hpso02b,workflow,273034,scatter,low-adjusted,896,512,True
hpso15,workflow,2900,prototype,mid-adjusted,786,512,True
hpso02b,workflow,45462,prototype,low-adjusted,896,512,False
hpso01,workflow,32133,scatter,low-adjusted,896,896,False
hpso02a,workflow,151023,prototype,low-adjusted,896,896,True
hpso02b,workflow,26868,prototype,low-adjusted,896,896,False
hpso32,workflow,5263,prototype,mid-adjusted,512,512,True
hpso02b,parametric,26732,prototype,low-adjusted,512,512,False
hpso32,parametric,0,prototype,mid-adjusted,512,512,True
hpso22,parametric,62847,prototype,mid-adjusted,786,512,False
hpso15,parametric,504,prototype,mid-adjusted,786,786,False
hpso02b,parametric,26732,prototype,low-adjusted,896,896,True
hpso02a,parametric,26732,prototype,low-adjusted,512,512,True
hpso13,parametric,5655,prototype,mid-adjusted,786,512,True
hpso02b,parametric,26732,prototype,low-adjusted,512,512,True
hpso13,parametric,5655,prototype,mid-adjusted,512,512,True
